signal_date,holding_days,event_type,classification_reason,future_index_return,future_abs_return,future_gap_return_next_open,future_rv_5d,signal_rv20,rv_expansion_ratio,call_leg_pnl,put_leg_pnl,straddle_return,iv_change
2024-01-02,1,noise_theta_decay,muted realized move or negative straddle return,-0.0052447334466612,0.0052447334466612,-0.0027663865510623,0.1641538574563972,,,-10.600000000000001,0.0,-0.0657722028157085,
2024-01-02,3,down_shock,negative future return with dominant put leg,-0.0305632722725928,0.0305632722725928,-0.0027663865510623,0.1641538574563972,,,-39.4,113.4,0.379750185243993,
2024-01-02,5,down_shock,negative future return with dominant put leg,-0.0514874129369226,0.0514874129369226,-0.0027663865510623,0.1641538574563972,,,-50.4,266.0,1.1254472319254794,
2024-01-03,1,noise_theta_decay,muted realized move or negative straddle return,-0.0070444708957152,0.0070444708957152,-0.0015634500488217,0.1603745671546713,,,-14.400000000000006,21.0,0.0311461560123909,
2024-01-03,3,down_shock,negative future return with dominant put leg,-0.048156977829902,0.048156977829902,-0.0015634500488217,0.1603745671546713,,,-63.8,260.4,1.214224475108733,
2024-01-03,5,down_shock,negative future return with dominant put leg,-0.0535666049706915,0.0535666049706915,-0.0015634500488217,0.1603745671546713,,,-72.8,241.2,1.038630745642855,
2024-01-04,1,noise_theta_decay,default muted/noise bucket,-0.0185381484798026,0.0185381484798026,-0.0005635122368252,0.2631940919952242,,,-32.2,62.0,0.1667173116453661,
2024-01-04,3,down_shock,negative future return with dominant put leg,-0.0397218371626361,0.0397218371626361,-0.0005635122368252,0.2631940919952242,,,-55.2,201.8,0.8591592933535919,
2024-01-04,5,down_shock,negative future return with dominant put leg,-0.0297250802803487,0.0297250802803487,-0.0005635122368252,0.2631940919952242,,,-49.0,122.0,0.4228259898114222,
2024-01-05,1,noise_theta_decay,default muted/noise bucket,-0.0232979294529128,0.0232979294529128,-0.0020008601064472,0.2393719430114304,,,-28.799999999999997,143.0,0.6654600355450943,
2024-01-05,3,down_shock,negative future return with dominant put leg,-0.0288488384854241,0.0288488384854241,-0.0020008601064472,0.2393719430114304,,,-43.4,125.0,0.4726546479074163,
2024-01-05,5,noise_theta_decay,default muted/noise bucket,-0.0178505827477531,0.0178505827477531,-0.0020008601064472,0.2393719430114304,,,-40.599999999999994,56.400000000000006,0.0834953072154165,
2024-01-08,1,noise_theta_decay,muted realized move or negative straddle return,0.0017550048258574,0.0017550048258574,0.0017333761817399,0.1635208679106473,,,-13.0,-24.200000000000003,-0.1889096790101967,
