signal_date,atm_iv,rv5,rv10,rv20,rv60,iv_minus_rv20,iv_rank,iv_percentile,iv_zscore_252,winsorized_iv_rank_252,iv_lookback_count,is_iv_warmup,rv5_minus_rv20,rv20_change_5d,rv20_change_10d,rv20_percentile_252,ret_1d,ret_3d,ret_5d,abs_ret_1d,abs_ret_5d,high_low_range_5d,high_low_range_10d,range_percentile_252,close_position_20d_range,distance_to_20d_high,distance_to_20d_low,underlying_volume_zscore_20d,option_total_volume,option_total_open_interest,call_volume,put_volume,put_call_volume_ratio,put_call_oi_ratio,signal_call_close,signal_put_close,signal_call_volume,signal_put_volume,signal_call_open_interest,signal_put_open_interest,signal_straddle_close,signal_straddle_premium_to_spot,entry_call_open,entry_put_open,entry_straddle_open,exit_call_close,exit_put_close,exit_straddle_close,signal_call_bid,signal_call_ask,signal_put_bid,signal_put_ask,call_bid_ask_spread,put_bid_ask_spread,dte,strike,straddle_close_price,straddle_premium_to_spot,call_close,put_close,valuation_score,compression_score,trigger_score,liquidity_score,old_vol_long_score
2024-01-02,0.1432855857428268,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,14619.0,7706.0,9921.0,4698.0,0.47354097369216813,0.40826023391812866,55.2,121.8,9921.0,4698.0,5472.0,2234.0,177.0,0.0302318661153968,55.0,133.0,188.0,44.4,133.0,177.4,,,,,,,17,5900.0,177.0,0.0302318661153968,55.2,121.8,82.94688980767201,,,100.0,55.0
2024-01-03,0.1370226889612633,,,,,,,,,,2.0,True,,,,,-0.0052447334466612094,,,0.0052447334466612094,,,,,,,,,18208.0,5052.0,9231.0,8977.0,0.9724840212328025,0.7584406543682561,85.2,76.8,9231.0,8977.0,2873.0,2179.0,162.0,0.0278157296508878,81.0,78.0,159.0,66.6,99.0,165.6,,,,,,,16,5800.0,162.0,0.0278157296508878,85.2,76.8,86.97378391518701,,17.482444822204034,100.0,55.0
2024-01-04,0.1468059748531542,,,,,,,,,,3.0,True,,,,,-0.007044470895715249,,,0.007044470895715249,,,,,,,,,21130.0,6812.0,11946.0,9184.0,0.7687929013895864,0.6745329400196657,66.6,99.0,11946.0,9184.0,4068.0,2744.0,165.6,0.028635579482711,65.0,102.0,167.0,32.8,164.0,196.8,,,,,,,15,5800.0,165.6,0.028635579482711,66.6,99.0,85.607367528815,,23.481569652384167,100.0,55.0
2024-01-05,0.1545146859912991,,,,,,,,,,4.0,True,,,,,-0.01853814847980262,-0.030563272272592812,,0.01853814847980262,,,,,,,,,17034.0,5155.0,7356.0,9678.0,1.3156606851549755,0.8030779993004548,66.6,99.2,7356.0,9678.0,2859.0,2296.0,165.8,0.0292116942410906,61.4,106.0,167.4,32.6,249.0,281.6,,,,,,,14,5700.0,165.8,0.0292116942410906,66.6,99.2,84.647176264849,,61.79382826600873,100.0,55.0
2024-01-08,0.2234505500836264,,,,,,,,,,5.0,True,,,,,-0.02329792945291287,-0.048156977829902026,,0.02329792945291287,,0.06271271361104658,,,,,,,17301.0,3626.0,3190.0,14111.0,4.4235109717868335,2.7381443298969073,96.2,113.4,3190.0,14111.0,970.0,2656.0,209.6,0.037809539675168,100.6,105.2,205.8,87.6,81.0,168.6,,,,,,,11,5500.0,209.6,0.037809539675168,96.2,113.4,70.31743387472001,,77.6597648430429,100.0,55.0
2024-01-09,0.2033944330896155,0.1641538574563972,,,,,,,,,6.0,True,,,,,0.0017550048258574424,-0.03972183716263611,-0.051487412936922605,0.0017550048258574424,0.051487412936922605,0.06317300927687208,,,,,,,29242.0,7119.0,17657.0,11585.0,0.6561137226029337,0.8963771976558338,46.0,137.6,17657.0,11585.0,3754.0,3365.0,183.6,0.0330614021005695,43.0,150.0,193.0,38.6,152.0,190.6,,,,,,,10,5600.0,183.6,0.0330614021005695,46.0,137.6,78.23099649905085,,5.850016086191475,100.0,55.0
2024-01-10,0.2105490197441775,0.1603745671546713,,,,,,,,,7.0,True,,,,,-0.007425291990614258,-0.02884883848542419,-0.053566604970691545,0.007425291990614258,0.053566604970691545,0.06454638712578809,,,,,,,2691.0,2392.0,1240.0,1451.0,1.1701612903225806,1.724373576309795,134.0,180.0,1240.0,1451.0,878.0,1514.0,314.0,0.0569659093139733,141.8,180.0,321.8,183.8,121.2,305.0,,,,,,,29,5500.0,314.0,0.0569659093139733,134.0,180.0,38.390151143377835,,24.750973302047527,100.0,55.0
2024-01-11,0.2048512782763414,0.26319409199522426,,,,,,,,,8.0,True,,,,,0.017968988992626,0.012183546915442323,-0.029725080280348704,0.017968988992626,0.029725080280348704,0.06121848581423994,,,,,,,2017.0,2582.0,1147.0,870.0,0.7585004359197908,1.1391880695940348,136.0,169.6,1147.0,870.0,1207.0,1375.0,305.6,0.0544633295604052,129.6,171.0,300.6,105.0,180.8,285.8,,,,,,,28,5600.0,305.6,0.0544633295604052,136.0,169.6,42.56111739932467,,59.89662997542,100.0,55.0
2024-01-12,0.1959607100699954,0.2393719430114304,,,,,,,,,9.0,True,,,,,-0.006526742127487051,0.003815584723579235,-0.017850582747753196,0.006526742127487051,0.017850582747753196,0.03699702042788622,,,,,,,1299.0,2619.0,857.0,442.0,0.5157526254375729,1.1138014527845037,105.0,180.8,857.0,442.0,1239.0,1380.0,285.8,0.0512692401816086,95.0,197.2,292.2,85.2,192.2,277.4,,,,,,,27,5600.0,285.8,0.0512692401816086,105.0,180.8,47.88459969731901,,21.755807091623502,100.0,55.0
2024-01-15,0.201323176510723,0.16352086791064738,,,,,,,,,10.0,True,,,,,-0.00271174456308354,0.00858251292445833,0.0028504171811889467,0.00271174456308354,0.0028504171811889467,0.03366860651752912,0.078512855657759,,,,,,1426.0,2789.0,957.0,469.0,0.49007314524555906,1.0447214076246334,85.2,192.2,957.0,469.0,1364.0,1425.0,277.4,0.0498976863590446,85.0,190.6,275.6,78.2,210.4,288.6,,,,,,,24,5600.0,277.4,0.0498976863590446,85.2,192.2,50.17052273492567,,9.039148543611802,100.0,55.0
