field,source_type,present_in_input,non_null_count,missing_count,completeness
signal_call_close,real_provider_quote,True,1880,0,1.0
signal_put_close,real_provider_quote,True,1880,0,1.0
signal_call_volume,real_provider_quote,True,1880,0,1.0
signal_put_volume,real_provider_quote,True,1880,0,1.0
signal_call_open_interest,real_provider_quote,True,1880,0,1.0
signal_put_open_interest,real_provider_quote,True,1880,0,1.0
signal_straddle_close,derived_from_signal_call_put_close,True,1880,0,1.0
signal_straddle_premium_to_spot,derived_from_signal_straddle_close_and_spot,True,1880,0,1.0
entry_call_open,real_provider_quote_or_legacy_entry_proxy,True,1880,0,1.0
entry_put_open,real_provider_quote_or_legacy_entry_proxy,True,1880,0,1.0
entry_straddle_open,derived_from_entry_call_put_open,True,1880,0,1.0
exit_call_close,real_provider_quote_or_legacy_exit_price,True,1880,0,1.0
exit_put_close,real_provider_quote_or_legacy_exit_price,True,1880,0,1.0
exit_straddle_close,derived_from_exit_call_put_close,True,1880,0,1.0
signal_call_bid,reserved_bid_ask_provider_quote,True,0,1880,0.0
signal_call_ask,reserved_bid_ask_provider_quote,True,0,1880,0.0
signal_put_bid,reserved_bid_ask_provider_quote,True,0,1880,0.0
signal_put_ask,reserved_bid_ask_provider_quote,True,0,1880,0.0
call_bid_ask_spread,derived_from_bid_ask,True,0,1880,0.0
put_bid_ask_spread,derived_from_bid_ask,True,0,1880,0.0
