event_date,event_type,daily_pnl,trade_pnl,contributing_trades,signal_dates,holding_days,spot_return_before_event,spot_return_on_event,atm_iv_before_event,rv20_before_event,iv_minus_rv20_before_event,range_percentile_before_event,dte,straddle_premium_to_spot,old_vol_long_score
2024-09-30,top_daily_pnl,316518.9,,4,2024-09-23|2024-09-25|2024-09-26|2024-09-27,1|2|3|5,0.2773901136878327,0.1114361135049,0.5685500409670432,0.4633791035476552,0.1051709374193879,,18,,41.06923126451017
2024-10-08,top_daily_pnl,263417.7,,4,2024-09-24|2024-09-26|2024-09-27|2024-09-30,1|2|3|5,0.3358983992810684,0.0863854700208228,0.7491441024713255,0.5244678497414554,0.22467625272987,,10,,40.0
2025-04-07,top_daily_pnl,207779.00000000003,,4,2025-03-28|2025-04-01|2025-04-02|2025-04-03,1|2|3|5,-0.1231396175697053,-0.1139424499097813,0.556887922440326,0.4447181627942294,0.1121697596460966,,11,,40.0
2024-09-27,top_daily_pnl,183880.80000000002,,4,2024-09-20|2024-09-24|2024-09-25|2024-09-26,1|2|3|5,0.1508023749214184,0.0538164938123035,0.3330051913664575,0.3128343887452403,0.0201708026212171,,21,,56.36925552818091
2024-01-22,top_daily_pnl,178620.5,,4,2024-01-15|2024-01-17|2024-01-18|2024-01-19,1|2|3|5,-0.1004685417931797,-0.0576885992279385,0.4197601953448733,,,,17,,50.0
2026-03-23,top_daily_pnl,129291.1,,4,2026-03-16|2026-03-18|2026-03-19|2026-03-20,1|2|3|5,-0.097699493251519,-0.0480928695423595,0.3248897207175524,0.3148489633434322,0.0100407573741201,0.98015873015873,25,,36.40694938694409
2025-04-08,top_daily_pnl,127142.40000000002,,4,2025-03-31|2025-04-02|2025-04-03|2025-04-07,1|2|3|5,-0.1118787846200671,0.0061087146419265,0.3804115111616233,0.4349159989127499,-0.0545044877511266,,10,,69.8108077952028
2024-09-26,top_daily_pnl,72147.10000000002,,4,2024-09-19|2024-09-23|2024-09-24|2024-09-25,1|2|3|5,0.0874238048690725,0.04009034158253,0.2226214337229041,0.2615176155645223,-0.0388961818416182,,22,,67.00131273149128
2025-01-03,top_daily_pnl,65335.40000000002,,4,2024-12-26|2024-12-30|2024-12-31|2025-01-02,1|2|3|5,-0.0868836925239801,-0.0296493636720085,0.2678212540106768,0.247453340822344,0.0203679131883327,,14,,56.3337756261001
2024-02-05,top_daily_pnl,63935.3,,1,2024-01-29,5,0.0260782322371215,-0.026285443566113,0.3352888777350506,,,,10,,50.0
