policy,group,group_value,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,avg_exit_day
fixed_hold_1d,all,all,470,0.30638297872340425,-0.012753954979562105,-0.035914936087053054,-649.6797872340384,-305349.499999998,-87463.19999999998,41141.30000000002,0.6367118531949439,-0.4912066337098996,-12560.637499999992,1.0
fixed_hold_3d,all,all,470,0.32978723404255317,0.009343435952710642,-0.07400946153246754,-350.24829787233654,-164616.69999999818,-90149.69999999998,102295.70000000003,0.8888853489405468,-2.2303253558114347,-17579.412499999995,3.0
fixed_hold_5d,all,all,470,0.3382978723404255,0.02248906943483147,-0.10611079124662376,-229.36638297871923,-107802.19999999803,-97513.49999999997,139300.7,0.9460722084395679,-4.254323195630593,-20258.137499999993,5.0
iv_stop_loss,all,all,470,0.3382978723404255,0.02248906943483147,-0.10611079124662376,-229.36638297871923,-107802.19999999803,-97513.49999999997,139300.7,0.9460722084395679,-4.254323195630593,-20258.137499999993,5.0
stop_loss_30pct,all,all,470,0.33617021276595743,0.034227249910917974,-0.10654785024642466,202.66076595745014,95250.56000000157,-40280.39999999999,139300.7,1.0530818103643114,4.814936521108038,-14839.474583333329,4.923404255319149
stop_loss_50pct,all,all,470,0.3382978723404255,0.024253098418602764,-0.10611079124662376,-112.12042553191112,-52696.59999999823,-67133.99999999999,139300.7,0.972891363747551,-8.703130752268939,-18176.39583333333,4.985106382978723
take_profit_100pct,all,all,470,0.3425531914893617,-0.01724271893208416,-0.10530554669529145,-1022.5655319148899,-480605.79999999824,-97513.49999999997,46551.6,0.7583889331200389,-0.39642717586845744,-20258.137499999993,4.927659574468085
take_profit_100pct_or_stop_loss_50pct,all,all,470,0.3425531914893617,-0.015478689948312864,-0.10530554669529145,-905.3195744680817,-425500.1999999984,-67133.99999999999,46551.6,0.7799970290564591,-0.44776759211864225,-18176.39583333333,4.912765957446808
take_profit_30pct,all,all,470,0.37446808510638296,-0.051935100971882156,-0.09658260943076225,-1869.6259148936144,-878724.1799999988,-97513.49999999997,14526.27,0.5475631175076058,-0.07990370766854292,-20258.137499999993,4.651063829787234
take_profit_50pct,all,all,470,0.3446808510638298,-0.04339843581546294,-0.10530554669529145,-1684.3556382978686,-791647.1499999983,-97513.49999999997,24210.45,0.6016874896163663,-0.13979788849110394,-20258.137499999993,4.827659574468085
take_profit_50pct_or_stop_loss_30pct,all,all,470,0.3425531914893617,-0.03166025533937642,-0.10611079124662376,-1252.3284893616992,-588594.3899999986,-40280.39999999999,24210.45,0.669867414663223,-0.18802523754941033,-14839.474583333329,4.751063829787234
time_stop_1d_no_move,all,all,470,0.3276595744680851,0.008200201198653454,-0.0233174466189258,-507.4159574468047,-238485.49999999822,-97513.49999999997,139300.7,0.814172510134254,-1.9230745684748272,-19480.71666666666,2.848936170212766
time_stop_1d_no_move_else_hold_5d,all,all,470,0.3276595744680851,0.008200201198653454,-0.0233174466189258,-507.4159574468047,-238485.49999999822,-97513.49999999997,139300.7,0.814172510134254,-1.9230745684748272,-19480.71666666666,2.848936170212766
time_stop_2d_no_move,all,all,470,0.3382978723404255,0.01359406955903978,-0.0347784456229999,-420.4487234042514,-197610.89999999816,-97513.49999999997,139300.7,0.879780433750902,-2.320850722303295,-20072.249999999993,4.002127659574468
