strategy,holding_days,event_type,dte_bucket,data_source,trade_count,premium_cost,win_rate,avg_return,median_return,max_loss,max_win,top_5_wins_contribution,event_type_capture
3% OTM strangle,1,all,all,provider_chain,468,138.24633974358971,0.2948717948717949,-0.0064749431378854205,-0.060935185774361855,-14105.499999999998,53044.69999999999,-2.1713168442102266,
3% OTM strangle,3,all,all,provider_chain,468,138.24633974358971,0.3141025641025641,0.048838146909611496,-0.14492074087042786,-17978.699999999997,96902.29999999999,13.280022403336982,
3% OTM strangle,5,all,all,provider_chain,468,138.24633974358971,0.30982905982905984,0.10028072399970697,-0.20396053710049758,-20489.199999999997,131588.3,3.8072901184582104,
5% OTM strangle,1,all,all,provider_chain,467,87.65536830835116,0.30620985010706636,-0.0011374129192012617,-0.06960709274142102,-11131.799999999992,45665.200000000004,-14.618320055673408,
5% OTM strangle,3,all,all,provider_chain,467,87.65536830835116,0.29336188436830835,0.09601248970254471,-0.18287406754664556,-18076.89999999999,93171.09999999998,3.610364777626358,
5% OTM strangle,5,all,all,provider_chain,467,87.65536830835116,0.2890792291220557,0.17903616701680128,-0.2660286907901293,-15797.299999999992,124031.40000000001,2.019281120606945,
ATM straddle,1,all,all,processed_trade_details,470,318.8514319148935,0.30638297872340425,-0.012753954979562105,-0.035914936087053054,-87463.19999999998,41141.30000000001,-0.49120663370989903,
ATM straddle,2,all,all,processed_trade_details,470,318.8514319148935,0.2957446808510638,-0.0019258042153684177,-0.0588843869161294,-84040.39999999998,70853.7,-1.2658885809112803,
ATM straddle,3,all,all,processed_trade_details,470,318.8514319148935,0.32978723404255317,0.009343435952710642,-0.07400946153246754,-90149.69999999998,102295.7,-2.2303253558114307,
ATM straddle,5,all,all,processed_trade_details,470,318.8514319148935,0.3382978723404255,0.02248906943483147,-0.10611079124662376,-97513.49999999996,139300.69999999998,-4.254323195630577,
3% OTM strangle,1,down_shock,10-14,provider_chain,3,119.12599999999998,1.0,0.5597486522337417,0.6236815920398014,3447.400000000002,12823.700000000004,1.0,0.02040816326530612
