signal_date,entry_date,exit_date,holding_days,strategy,moneyness,call_code,put_code,spot_at_signal,call_strike,put_strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,net_pnl,return_on_premium,entry_mode_used
2024-01-02,2024-01-03,2024-01-03,1,3% OTM strangle,0.03,MO2401-C-6100.CFE,MO2401-P-5600.CFE,5854.7494,6100.0,5600.0,17,13.0,20.0,11.0,18.2,33.165,29.054,-411.1000000000001,-0.123955977687321,next_open
2024-01-02,2024-01-03,2024-01-05,3,3% OTM strangle,0.03,MO2401-C-6100.CFE,MO2401-P-5600.CFE,5854.7494,6100.0,5600.0,17,13.0,20.0,4.0,54.0,33.165,57.71,2454.5,0.7400874415799789,next_open
2024-01-02,2024-01-03,2024-01-09,5,3% OTM strangle,0.03,MO2401-C-6100.CFE,MO2401-P-5600.CFE,5854.7494,6100.0,5600.0,17,13.0,20.0,1.2,137.6,33.165,138.106,10494.1,3.1642092567465703,next_open
2024-01-03,2024-01-04,2024-01-04,1,3% OTM strangle,0.03,MO2401-C-6000.CFE,MO2401-P-5600.CFE,5824.0428,6000.0,5600.0,16,22.0,19.4,17.2,25.0,41.60699999999999,41.989000000000004,38.20000000000121,0.009181147403081506,next_open
2024-01-03,2024-01-04,2024-01-08,3,3% OTM strangle,0.03,MO2401-C-6000.CFE,MO2401-P-5600.CFE,5824.0428,6000.0,5600.0,16,22.0,19.4,5.6,172.2,41.60699999999999,176.91099999999997,13530.399999999998,3.2519527964044515,next_open
2024-01-03,2024-01-04,2024-01-10,5,3% OTM strangle,0.03,MO2401-C-6000.CFE,MO2401-P-5600.CFE,5824.0428,6000.0,5600.0,16,22.0,19.4,2.0,152.0,41.60699999999999,153.23,11162.3,2.682793760665273,next_open
2024-01-04,2024-01-05,2024-01-05,1,3% OTM strangle,0.03,MO2401-C-6000.CFE,MO2401-P-5600.CFE,5783.0155,6000.0,5600.0,15,15.6,27.0,7.8,54.0,42.812999999999995,61.491,1867.8000000000004,0.4362693574381615,next_open
2024-01-04,2024-01-05,2024-01-09,3,3% OTM strangle,0.03,MO2401-C-6000.CFE,MO2401-P-5600.CFE,5783.0155,6000.0,5600.0,15,15.6,27.0,2.2,137.6,42.812999999999995,139.10099999999997,9628.799999999997,2.2490365076028307,next_open
2024-01-04,2024-01-05,2024-01-11,5,3% OTM strangle,0.03,MO2401-C-6000.CFE,MO2401-P-5600.CFE,5783.0155,6000.0,5600.0,15,15.6,27.0,3.0,77.8,42.812999999999995,80.396,3758.3000000000006,0.8778408427346837,next_open
2024-01-05,2024-01-08,2024-01-08,1,3% OTM strangle,0.03,MO2401-C-5900.CFE,MO2401-P-5500.CFE,5675.8091,5900.0,5500.0,14,14.0,31.0,9.2,113.4,45.224999999999994,121.98700000000001,7676.200000000002,1.6973355444997242,next_open
